journal	owner	name	language	license_name	has_zenodo	has_setup	has_installation_docs	has_issues	is_fork	is_formatted	is_linted	pyroma_score	commit	branch	date	readme_type	reference	title	github	has_github	year	license_status	has_known_license	package_status	has_loose_root_scripts
JMLR	jameshensman	VFF	Python	Apache-2.0	False	False	False	True	False	False	False	-1.0	459be5b480bba49e8c15dc7daeca5fd1ddd762df	master	2018-01-01	markdown	jmlr:18/16-579	Variational Fourier Features for Gaussian Processes	jameshensman/VFF	True	2018	Present	True	False	False
JMLR	twitter	torch-autograd	Lua	Apache-2.0	False	False	False	True	False	True	True	-1.0	280110f7ac1770ca17083a6794bd32dc4f378882	master	2018-01-01	markdown	jmlr:18/17-468	Automatic Differentiation in Machine Learning: a Survey	twitter/torch-autograd	True	2018	Present	True	False	False
JMLR	google	tangent	Python	Apache-2.0	False	True	True	True	False	False	False	0.0	6533e83af09de7345d1b438512679992f080dcc9	master	2018-01-01	markdown	jmlr:18/17-468	Automatic Differentiation in Machine Learning: a Survey	google/tangent	True	2018	Present	True	False	False
JMLR	HIPS	autograd	Python	MIT	False	True	False	True	False	False	True	0.0	b810a148bf5fab62cf92c6ca86f8598f747cd578	master	2018-01-01	markdown	jmlr:18/17-468	Automatic Differentiation in Machine Learning: a Survey	HIPS/autograd	True	2018	Present	True	False	True
JMLR	NUIM-BCL	R6RS-AD	Scheme	GPL-2.0	False	False	False	False	True	True	True	-1.0	e1b135b4a3832521aefb63aa84d1bb548f4a7061	master	2018-01-01		jmlr:18/17-468	Automatic Differentiation in Machine Learning: a Survey	NUIM-BCL/R6RS-AD	True	2018	Present	True	False	False
JMLR	qobi	R6RS-AD	Scheme	GPL-2.0	False	False	False	True	False	True	True	-1.0	a1b8db1d468e81c3ba640f8655019545f132dbd5	master	2018-01-01		jmlr:18/17-468	Automatic Differentiation in Machine Learning: a Survey	qobi/R6RS-AD	True	2018	Present	True	False	False
JMLR	axch	dysvunctional-language	Scheme	AGPL-3.0	False	False	False	True	False	True	True	-1.0	ebb18e2b435fb4de3207176b2da7f680f3fb8f46	master	2018-01-01	markdown	jmlr:18/17-468	Automatic Differentiation in Machine Learning: a Survey	axch/dysvunctional-language	True	2018	Present	True	False	False
JMLR	lambder	Deriva	Clojure		False	False	True	True	False	True	True	-1.0	540324fcf8558acc8812b51852779c7f501b6e89	master	2018-01-01	markdown	jmlr:18/17-468	Automatic Differentiation in Machine Learning: a Survey	lambder/Deriva	True	2018	No License	False	False	False
JMLR	jmschrei	pomegranate	Python	MIT	False	True	True	True	False	False	False	5.0	e9162731f4f109b7b17ecffde768734cacdb839b	master	2018-01-01	markdown	jmlr:18/17-636	pomegranate: Fast and Flexible Probabilistic Modeling in Python	jmschrei/pomegranate	True	2018	Present	True	True	False
JMLR															2018-01-01		jmlr:18/17-269	To Tune or Not to Tune the Number of Trees in Random Forest	PhilippPro/tune	True	2018	No License	False		False
