doi	date	title	github
10.1186/s12859-025-06124-1	2025-04-18	Correction: MethylSeqLogo: DNA methylation smart sequence logos	
10.1186/s12859-024-06014-y	2025-02-07	Correction: HISS: Snakemake-based workflows forperforming SMRT-RenSeq assembly, AgRenSeq anddRenSeq forthediscovery ofnovel plant disease resistance genes	
10.1186/s12859-025-06093-5	2025-01-22	Constructing multilayer PPI networks based on homologous proteins and integrating multiple PageRank to identify essential proteins	zhaohe555/mlpr
10.1186/s12859-025-06134-z	2025-01-22	A framework for predictive modeling of microbiome multi-omics data: latent interacting variable-effects (LIVE) modeling	brubaker-lab/live-latent-interacting-variable-effects-modeling
10.1186/s12859-025-06132-1	2025-01-10	M3S-GRPred: a novel ensemble learning approach for the interpretable prediction of glucocorticoid receptor antagonists using a multi-step stacking strategy	shoombuatong/m3s-grpred
10.1186/s12859-025-06106-3	2025-01-08	Methylmap: visualization of modified nucleotides for large cohort sizes	
10.1186/s12859-025-06046-y	2025-01-07	CoMIT: a bioinformatic pipeline for risk-based prediction of COVID-19 test inclusivity	
10.1186/s12859-025-06126-z	2025-01-04	metacp: a versatile software package for combining dependent or independent p-values	
10.1186/s12859-025-06115-2	2024-12-25	DeepMethyGene: a deep-learning model to predict gene expression using DNA methylations	yaoyao-11/deepmethygene
10.1186/s12859-025-06094-4	2024-12-24	SNPeBoT: a tool for predicting transcription factor allele specific binding	structuralbioinformatics/snpebot
10.1186/s12859-025-06110-7	2024-12-24	DMoVGPE: predicting gut microbial associated metabolites profiles with deep mixture of variational Gaussian Process experts	borenstein-lab/microbiome-metabolome-curated-data
10.1186/s12859-025-06075-7	2024-12-23	MFCADTI: improving drug-target interaction prediction by integrating multiple feature through cross attention mechanism	labbiomedcoder/mfcadti
10.1186/s12859-025-06116-1	2024-12-22	GRLGRN: graph representation-based learning to infer gene regulatory networks from single-cell RNA-seq data	zpliulab/genelink
10.1186/s12859-025-06130-3	2024-12-19	FastQTLmapping: an ultra-fast and memory efficient package for mQTL-like analysis	fun-gene/fastqtlmapping
10.1186/s12859-025-06118-z	2024-12-19	Phoenics: a novel statistical approach for longitudinal metabolomic pathway analysis	
10.1186/s12859-025-06125-0	2024-12-17	PathNetDRP: a novel biomarker discovery framework using pathway and proteinprotein interaction networks for immune checkpoint inhibitor response prediction	doohee94/pathnetdrp
10.1186/s12859-025-06098-0	2024-12-13	Validating a web applications use of genetic distance to determine helminth species boundaries and aid in identification	slphyx/abiapp
10.1186/s12859-025-06090-8	2024-12-08	UTAP2: an enhanced user-friendly transcriptome and epigenome analysis pipeline	utap2/utap2
10.1186/s12859-024-05957-6	2024-12-04	Correction: Maptcha: anefficient parallel workflow forhybrid genome scaffolding	
10.1186/s12859-025-06111-6	2024-11-29	Amogel: a multi-omics classification framework using associative graph neural networks with prior knowledge for biomarker identification	tchiayan/amogel
10.1186/s12859-025-06037-z	2024-11-21	GRAMEP: an alignment-free method based on the maximum entropy principle for identifying SNPs	omatheuspimenta/gramepoperating
10.1186/s12859-025-06084-6	2024-11-20	Combining single-cell ATAC and RNA sequencing for supervised cell annotation	jaidipgill/supervised-single-cell
10.1186/s12859-025-06088-2	2024-11-19	ProToDeviseR: an automated protein topology scheme generator	
10.1186/s12859-025-06120-5	2024-11-19	M01 tool: an automated, comprehensive computational tool for generating small molecule-peptide hybrids and docking them into curated protein structures	mahsasheikh/m01-tool
10.1186/s12859-025-06112-5	2024-11-18	Redefining the high variable genes by optimized LOESS regression with positive ratio	
10.1186/s12859-025-06123-2	2024-11-14	PPI-Graphomer: enhanced protein-protein affinity prediction using pretrained and graph transformer models	
10.1186/s12859-025-06063-x	2024-11-12	AMEND 2.0: module identification and multi-omic data integration with multiplex-heterogeneous graphs	samboyd0/amend2
10.1186/s12859-025-06087-3	2024-11-11	SCITUNA: single-cell data integration tool using network alignment	abu-compbio/scituna
10.1186/s12859-025-06044-0	2024-11-11	Benchmarking cell type annotation methods for 10x Xenium spatial transcriptomics data	
10.1186/s12859-025-06097-1	2024-11-11	optRF: Optimising random forest stability by determining the optimal number of trees	tmlange/optrf
10.1186/s12859-025-06121-4	2024-11-06	HPC-T-Assembly: a pipeline for de novo transcriptome assembly of large multi-specie datasets	poset26/hpc-t-assembly
10.1186/s12859-025-06058-8	2024-11-06	TockyPrep: data preprocessing methods for flow cytometric fluorescent timer analysis	monotockylab/tockyprep
10.1186/s12859-025-06062-y	2024-11-05	Direct coupling analysis and the attention mechanism	pagnani/attentiondca
10.1186/s12859-025-06059-7	2024-11-05	SEGT-GO: a graph transformer method based on PPI serialization and explanatory artificial intelligence for protein function prediction	spacezore/segt-go
10.1186/s12859-025-06101-8	2024-11-03	Deep-ProBind: binding protein prediction with transformer-based deep learning model	salman-khan-mrd/deep-probind
10.1186/s12859-025-06064-w	2024-11-03	Harnessing pre-trained models for accurate prediction of protein-ligand binding affinity	mialab-ruc/sablebind
10.1186/s12859-025-06080-w	2024-10-31	An alignment-free method for phylogeny estimation using maximum likelihood	danrdanny/drosophila15genomesproject
