doi	date	title	github
10.1186/s13321-023-00798-6	2024-01-15	Are new ideas harder to find? A note on incremental research and Journal of Cheminformatics Scientific Contribution Statement	
10.1186/s13321-023-00774-0	2023-11-15	Correction: MOFGalaxyNet: a social network analysis for predicting guest accessibility in metalorganic frameworks utilizing graph convolutional networks	
10.1186/s13321-023-00795-9	2023-10-28	Structure-based, deep-learning models for protein-ligand binding affinity prediction	debbydanwang/dl-plbap
10.1186/s13321-024-00801-8	2023-10-24	BioisoIdentifier: an online free tool to investigate local structural replacements from PDB	
10.1186/s13321-023-00750-8	2023-10-05	Paths to cheminformatics: Q&A with Nathaniel Charest	
10.1186/s13321-023-00749-1	2023-10-05	Paths to cheminformatics: Q&A with Ann M. Richard	
10.1186/s13321-023-00775-z	2023-09-21	HD_BPMDS: a curated binary pattern multitarget dataset of Huntingtons diseasetargeting agents	
10.1186/s13321-023-00783-z	2023-09-20	YoDe-Segmentation: automated noise-free retrieval of molecular structures from scientific publications	onechorm/yode-segmentation
10.1186/s13321-023-00778-w	2023-09-18	Exploring the known chemical space of the plant kingdom: insights into taxonomic patterns, knowledge gaps, and bioactive regions	enveda/plant-chemical-space
10.1186/s13321-023-00794-w	2023-09-11	Applying atomistic neural networks to bias conformer ensembles towards bioactive-like conformations	bbaillif/bioactive_conformation_predictor
10.1186/s13321-023-00792-y	2023-09-08	Ilm-NMR-P31: an open-access 31P nuclear magnetic resonance database and data-driven prediction of 31P NMR shifts	clacor/ilm-nmr-p31
10.1186/s13321-023-00790-0	2023-09-07	Uncertain of uncertainties? A comparison of uncertainty quantification metrics for chemical data sets	jensengroup/uq_validation_methods
10.1186/s13321-023-00787-9	2023-09-01	SIMPD: an algorithm for generating simulated time splits for validating machine learning approaches	rinikerlab/molecular_time_series
10.1186/s13321-023-00780-2	2023-08-28	A workflow for deriving chemical entities from crystallographic data and its application to the Crystallography Open Database	
10.1186/s13321-023-00791-z	2023-08-25	AI-driven molecular generation of not-patented pharmaceutical compounds using world open patent data	
10.1186/s13321-023-00788-8	2023-08-25	HybridGCN for protein solubility prediction with adaptive weighting of multiple features	jcchan23/graphsol
10.1186/s13321-023-00796-8	2023-08-18	InterDILI: interpretable prediction of drug-induced liver injury through permutation feature importance and attention mechanism	bmil-jnu/interdili
10.1186/s13321-023-00768-y	2023-08-17	Analysis of metabolites in human gut: illuminating the design of gut-targeted drugs	bbu-imdea/gutmetabos
10.1186/s13321-023-00766-0	2023-08-11	ScaffoldGVAE: scaffold generation and hopping of drug molecules via a variational autoencoder based on multi-view graph neural networks	ecust-hc/scaffoldgvae
10.1186/s13321-023-00786-w	2023-08-11	PDBe CCDUtils: an RDKit-based toolkit for handling and analysing small molecules in the Protein Data Bank	pdbeurope/ccdutils
10.1186/s13321-023-00740-w	2023-07-31	Correction: Improving thequality ofchemical language model outcomes withatom-in-SMILES tokenization	
10.1186/s13321-023-00777-x	2023-07-28	Continuous symmetry and chirality measures: approximate algorithms for large molecular structures	continuous-symmetry-measure/csm;
10.1186/s13321-024-00800-9	2023-07-27	DBPP-Predictor: a novel strategy for prediction of chemical drug-likeness based on property profiles	yxgu2353/dbpp-predictor
10.1186/s13321-023-00739-3	2023-07-26	Correction: Reconstruction of lossless molecular representations from fingerprints	
10.1186/s13321-023-00769-x	2023-07-23	DeepDelta: predicting ADMET improvements of molecular derivatives with deep learning	rekerlab/deepdelta
10.1186/s13321-023-00761-5	2023-07-14	A molecule perturbation software library and its application to study the effects of molecular design constraints	alankerstjens/molpert
10.1186/s13321-023-00770-4	2023-07-13	Art driven by visual representations of chemical space	
10.1186/s13321-023-00779-9	2023-07-11	EMNPD: a comprehensive endophytic microorganism natural products database for prompt the discovery of new bioactive substances	boilism/emnpd
10.1186/s13321-023-00773-1	2023-07-07	BBB-PEP-prediction: improved computational model for identification of bloodbrain barrier peptides using blending position relative composition specific features and ensemble modeling	ansar390/bbb-pep-prediction
10.1186/s13321-023-00762-4	2023-07-07	Cheminformatics Microservice: unifying access to open cheminformatics toolkits	
10.1186/s13321-023-00781-1	2023-07-06	On the difficulty of validating molecular generative models realistically: a case study on public and proprietary data	molecularai/reinvent
10.1186/s13321-023-00771-3	2023-07-05	DeepSA: a deep-learning driven predictor of compound synthesis accessibility	shihang-wang-58/deepsa
10.1186/s13321-023-00730-y	2023-06-30	Improving reproducibility and reusability in the Journal of Cheminformatics	
10.1186/s13321-023-00764-2	2023-06-29	MOFGalaxyNet: a social network analysis for predicting guest accessibility in metalorganic frameworks utilizing graph convolutional networks	mehrdadjalali-kit/mofgalaxynet
10.1186/s13321-023-00763-3	2023-06-29	Reliable and accurate prediction of basic pK values in nitrogen compounds: the pK shift in supramolecular systems as a case study	jacksonalcazar/basic-pka-estimation-nitrogen-compounds
